campaign_id,campaign_objective,platform,ad_placement,device_type,operating_system,creative_format,creative_size,ad_copy_length,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,quarter,day_of_week,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,avg_session_duration_seconds,pages_per_session,industry_vertical,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit,ROI,Cost_Per_Conversion,campaign_month
CAMP_00001,Lead Generation,Facebook,Search,Mobile,Android,Text,728x90,Short,FALSE,Curiosity,72,45-54,Female,Shoppers,<$50K,Medium,FALSE,06-03-2024,1,Wednesday,18,34,5,2.23,66329,402,2,896.46,289.67,67.75,70,2,E-commerce,High,0.006060697,2.23,0.004975124,448.23,0.32,-606.79,-0.67687348,448.23,2024-03
CAMP_00002,Engagement,Facebook,Feed,Mobile,iOS,Image,320x50,Long,TRUE,Neutral,62,65+,Female,Business Professionals,$50K-$100K,Medium,FALSE,26-01-2024,1,Friday,6,22,5,2.48,50094,467,5,1158.16,1728.2,63.73,105,2.74,Finance,Medium,0.009322474,2.48,0.010706638,231.63,1.49,570.04,0.492194515,231.632,2024-01
CAMP_00003,Conversions,Google Ads,Feed,Tablet,iOS,Video,1920x1080,Short,FALSE,Urgency,79,65+,Male,Tech Enthusiasts,<$50K,High,FALSE,15-05-2025,2,Thursday,1,32,4,3.88,10842,112,6,434.56,2903.26,31.93,149,3.97,Healthcare,Low,0.010330197,3.88,0.053571429,72.43,6.68,2468.7,5.68091863,72.42666667,2025-05
CAMP_00004,Conversions,LinkedIn,Search,Desktop,iOS,Carousel,1920x1080,Short,FALSE,Joy,57,35-44,All,Shoppers,<$50K,Low,FALSE,21-07-2024,3,Sunday,7,32,4,8.29,7820,123,3,1019.67,502.28,65.52,147,2.49,Education,Medium,0.0157289,8.29,0.024390244,339.89,0.49,-517.39,-0.50740926,339.89,2024-07
CAMP_00005,Brand Awareness,Facebook,Stories,Mobile,iOS,Image,1920x1080,Short,FALSE,Joy,17,25-34,Female,Students,$100K-$200K,Low,FALSE,09-03-2025,1,Sunday,17,52,7,1.41,21436,302,0,425.82,0,68.95,81,3.04,SaaS,Low,0.014088449,1.41,0,0,0,-425.82,-1,,2025-03
CAMP_00006,Brand Awareness,Twitter,Search,Mobile,iOS,Image,300x250,Long,TRUE,Curiosity,70,18-24,Male,Shoppers,<$50K,Low,FALSE,29-10-2024,4,Tuesday,12,63,4,1.66,118264,1453,4,2411.98,1530.95,65.88,116,3.92,Healthcare,Medium,0.012286072,1.66,0.002752925,603,0.63,-881.03,-0.365272515,602.995,2024-10
CAMP_00007,Brand Awareness,Google Ads,Sidebar,Mobile,Android,Video,300x250,Long,TRUE,Joy,22,25-34,Male,Shoppers,>$200K,Medium,FALSE,22-08-2024,3,Thursday,17,21,6,2.93,117300,3940,85,11544.2,55295.55,45.76,120,1.88,E-commerce,Medium,0.033589088,2.93,0.021573604,135.81,4.79,43751.35,3.789898824,135.8141176,2024-08
CAMP_00008,App Installs,LinkedIn,Feed,Mobile,Android,Image,1920x1080,Medium,TRUE,Urgency,23,35-44,Female,Business Professionals,$50K-$100K,High,FALSE,01-05-2025,2,Thursday,7,64,3,11.6,8605,124,4,1438.4,2424.17,47.8,155,3.03,Finance,Medium,0.014410227,11.6,0.032258065,359.6,1.69,985.77,0.685323971,359.6,2025-05
CAMP_00009,Conversions,TikTok,Search,Mobile,Android,Image,1080x1080,Long,TRUE,Joy,46,25-34,Female,Students,$50K-$100K,Medium,TRUE,27-12-2025,4,Saturday,22,36,6,2.12,54499,544,9,1153.28,2385.23,54.4,77,3.72,Healthcare,Low,0.009981835,2.12,0.016544118,128.14,2.07,1231.95,1.068214137,128.1422222,2025-12
CAMP_00010,Conversions,TikTok,Feed,Desktop,Android,Image,320x50,Medium,TRUE,Urgency,49,25-34,Male,Shoppers,$50K-$100K,Medium,FALSE,17-09-2024,3,Tuesday,7,28,7,1.71,104451,2449,100,4187.79,26278.99,49.81,151,4.81,E-commerce,Low,0.023446401,1.71,0.040832993,41.88,6.28,22091.2,5.275145124,41.8779,2024-09
